Index,timestamp (s),Mg,Al,Si,Ca,47Ti,48Ti,49Ti,V,Cr,Mn,Fe,Ni,Co,Cu,Zn,Ga,Ge,As,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,Ba,Ce,Pr,Sm,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Pb,Bi,Th,U
1,0.030413279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59e-16,,,,,,,,,,,,,,,,,,
2,0.033665764,,,,,,,,,,,1.26e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.043626314,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13e-16,,,,,,,,,,,,,,,,,,,,
4,0.117476894,,,,,,,,,,,2.08e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.181461643,,,,,,,,,,,2.86e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.251380909,,4.9e-15,,,,,,,,,1.44e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.307662178,,,,,,,,,,,1.28e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.323527379,,,,,,,,,,,2.17e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.345524216,,,,,,,,,,,5.32e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.36545257,,,,,,,,,,,6.61e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.371404154,,,,,,,,,,,2.1e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.381410784,,,,,,,,,,,7.85e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.44546892,,,,,,,,,,,9.42e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.537416597,,,,,,,,,,,1.07e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.563363521,,,,,,,,,,,4.23e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.587347776,,,,,,,,,,,7.04e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.619441271,,6.84e-15,,,,,,,,,2.32e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.629352327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43e-17,,,,,,,,,,
19,0.635345298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.749332906,,1.06e-14,,,,,,,,,8.05e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.773313746,,,,,,,,,,,2.18e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.779347677,,,,,,,,,,,1.16e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.821315962,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.37e-16,,,,,,,,,,,,,,,,,,,
24,0.875418241,,,-5.09e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.883551801,,,,,,,,,,,1.22e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.941384433,,,,,,,,,,,8.27e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.949400234,,,,,,,,,,,1.93e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.979332658,,9.12e-15,,,,,,,,,6.34e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.02537007,,,,,,,,,,,2.03e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.043363914,,,,,,,,,,,,,,,,,,,,,,1.21e-16,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.085325372,,,,,,,,,,,2.36e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.155291145,,4.05e-14,,,,8.7e-16,,,,,4.52e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.161419369,,,,,,,,,,,1.88e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.211602708,,,,,,,,,,,1.12e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.223523368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.259503376,,,,,,,,,,,9.7e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.307524792,,,,,,,,,,,1.05e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.395296248,,,,,,,,,,,1.24e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.429263666,,,,,,3.36e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.53930332,,,,,,,,,,,8.49e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1.583372942,,,,,,,,,,,,,,,,,,,3.15e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1.679336413,,,,,,,,,,,8.79e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1.68739744,,,,,,,,,,,7.92e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.691283953,,,,,,,,,,,1.96e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1.749282132,,,,,,,,,,,1.11e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1.789398254,,,,,,,,,,,2.83e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1.837439296,,,,,,1.1e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1.871291514,,,,,,,,,,,1.2e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1.965423301,,,,,,,,,,,1.24e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.977285081,,,,,,,,,,,3.06e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.013223703,,,,,,,,,,,,,,,,,,,,,,,,1.31e-16,,,,,,,,,,,,,,,,,,,,,,,
52,2.02126937,,,,,,,,,,,5.61e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.073218685,,5.17e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.097237499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.153191088,,,,,,,,,,,1.73e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.233168185,,,,,,,,,,,1.94e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.389343384,,,,,,,,,,,,,,,,,,,3.24e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.463519084,,,,,,,,,,,4.7e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.551143767,,,,,,,,,,,,,,,,,,1.31e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.60920552,,,,,,,,,,,7.5e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2.619170763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2.633150094,,,,,,,,,,,1.67e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2.639331224,,,,,,,,,,,2.76e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2.701237677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2.705238964,,,,,,,,,,,2.42e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2.727210628,,,,,,,,,,,1.22e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2.751214509,,,,,,7.81e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2.775175723,,,,,,,,,,,1.17e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2.825468715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2.86331198,,1.66e-14,,,,,,,,,1.45e-14,,,,,,,,,,,,,,,,,,1.34e-16,,,,,,,,,,,,,,,,,,
71,2.877144964,,,,,,,,,,,8.25e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2.965154074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2.983206798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.009095696,,,,,,,,,,,2.56e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.031190667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87e-17,,,,,,,,,,,,,,,,,
76,3.053120944,,,,,,1.27e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.067123741,,,,,,,,,,,,,,,,,,,,9.68e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.071170681,,,,,1.01e-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.123089703,,5.57e-15,,,,,,,,,,,,,,,,,,,,,,,,,,1.69e-16,,,,,,,,,,,,,,,,,,,
80,3.165124122,,,,,,,,,,,1.05e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,3.223057447,,,,,,,,,,,8.61e-16,,,,,,,,,,,,,,,,,2.53e-16,,,,,,,,,,,,,,,,,,,
82,3.229062791,,6.76e-15,,,,,,,,,1.35e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,3.291400177,,,,,,,,,,,3.13e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,3.477114414,,,,,,,,,,,6.34e-15,,,3.36e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,3.555296094,,,,,,,,,,,2.22e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,3.573073191,,,,,,9.8e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,3.587078122,,,,,,,,,,,2.61e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,3.617115933,,,,,,,,,,,5.48e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,3.647069264,,,,,,,,,,,1.69e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,3.69905314,,,,,,,,,,,1.6e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,3.839195032,,,,,,,,,,,7.06e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,3.881210677,,8.67e-15,,,,,,,,,2.08e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,3.911016808,,,,,,5.98e-15,6.12e-15,,,,5.01e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,4.009214736,,,-4.89e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4.047072934,,,,,,,,,,,3.95e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,4.089011779,,,,,,3.28e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,4.10719037,,,,,,,,,,,8.95e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,4.217008584,,7.44e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4.239008835,,,,,,,,,,,9.09e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4.254958515,,,,,,,,,,,8.39e-16,,,,,,,,,,,,,1.25e-16,,,,,,,,,,,,,,,,,,,,,,,
101,4.263186369,,,,,,,,,,,2.22e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,4.343008585,,,,,,,,,,,1.26e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,4.430998069,,6.66e-15,,,,2.12e-15,,,,,3.26e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,4.489016728,,8.36e-15,,,,,,,,,3.84e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,4.516925469,,,,,,,,,,,1.29e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,4.569245985,,,,,,,,,,,1.17e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,4.594990669,,,,,,,,,,,1.04e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,4.61499625,,,,,,,,,,,6.91e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,4.647006544,,,,,,,,,,,7.93e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,4.681039242,,,,,,1.29e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,4.734942268,,,,,,,,,,,9.06e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,4.748930132,,7.92e-15,,,,,,,,,3.91e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,4.79890611,,,,,,8.62e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,4.813011308,,,,,,,,,,,9.93e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,4.852908122,,,,,,,,,,,1.52e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,4.86695572,,,,,,,,,,,1.12e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,4.897061371,,,,,,,,,,,7.13e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,5.008999269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03e-17,
119,5.024985643,,,,,,,,,,,8.32e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,5.11497193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,5.12297365,,,,,,,,,,,1.84e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,5.166971592,,,,,,,,,,,4.21e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,5.248886611,,,,,,,,,,,9.22e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,5.258880015,,,,,,,,,,,1.77e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,5.264887065,,9.21e-15,,,,,,,,,8.98e-15,,,,,,,,,,,,,,,,,9.65e-17,1.62e-16,,,,,,,,,,,,,,,,,,
126,5.280880266,,,,,,,,,,,8.94e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,5.30484532,,,,,,,,,,,1.8e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,5.326880558,,,,,,1.06e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,5.357041676,,1.51e-14,,,,,,,,,9.54e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,5.446958843,,,,,,,,,,,1.27e-14,,,,,,,,,,,,,,,,,,1.76e-16,,,,,,,,,,,,,,,,,,
131,5.494932898,,,,,,,,,,,7.27e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,5.503038725,,,,,,,,,,,1.71e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,5.506999479,,,,,,,,,,,9.71e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,5.559246181,,,,,,8.12e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,5.79683464,,,,,,,,,,,1.25e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,5.814832324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,5.820861988,,,,,,,,,,,1.12e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
